raw_index,message_type,is_sender,message,sticker_path,CreateTime,unix_seconds,time_gap,message_id,sticker_id,sticker_caption,sticker_quality_score,sticker_needs_review,normalized_text,sticker_resolved
1,text,0,我通过了你的朋友验证请求，现在我们可以开始聊天了,,2023-02-07 03:12:59+00:00,1675739579,,msg_00000001,,,,,我通过了你的朋友验证请求，现在我们可以开始聊天了,True
2,text,0,你是？,,2023-02-07 03:13:16+00:00,1675739596,17.0,msg_00000002,,,,,你是？,True
3,text,1,你21号一点的吗？,,2023-02-07 03:13:30+00:00,1675739610,14.0,msg_00000003,,,,,你21号一点的吗？,True
4,text,0,40,,2023-02-07 03:15:35+00:00,1675739735,125.0,msg_00000004,,,,,40,True
5,text,0,到机场,,2023-02-07 03:15:53+00:00,1675739753,18.0,msg_00000005,,,,,到机场,True
6,text,1,太平机场嘛？,,2023-02-07 03:15:57+00:00,1675739757,4.0,msg_00000006,,,,,太平机场嘛？,True
7,text,0,对呀,,2023-02-07 03:15:59+00:00,1675739759,2.0,msg_00000007,,,,,对呀,True
8,text,1,我两点多好像,,2023-02-07 03:16:03+00:00,1675739763,4.0,msg_00000008,,,,,我两点多好像,True
9,text,1,不过航班可能变动,,2023-02-07 03:16:13+00:00,1675739773,10.0,msg_00000009,,,,,不过航班可能变动,True
10,text,1,不好说,,2023-02-07 03:16:15+00:00,1675739775,2.0,msg_00000010,,,,,不好说,True
11,text,0,女生吗,,2023-02-07 03:16:32+00:00,1675739792,17.0,msg_00000011,,,,,女生吗,True
12,text,1,你本科还是研究生？,,2023-02-07 03:16:33+00:00,1675739793,1.0,msg_00000012,,,,,你本科还是研究生？,True
13,text,1,[破涕为笑],,2023-02-07 03:16:38+00:00,1675739798,5.0,msg_00000013,,,,,[破涕为笑],True
14,text,1,这微信上不是有性别吗？,,2023-02-07 03:16:53+00:00,1675739813,15.0,msg_00000014,,,,,这微信上不是有性别吗？,True
15,text,0,我大一,,2023-02-07 03:16:58+00:00,1675739818,5.0,msg_00000015,,,,,我大一,True
16,sticker,0,[表情包],../emojis/cb7a7a795c326f47113ffe1a2ccabba1.png,2023-02-07 03:16:59+00:00,1675739819,1.0,msg_00000016,sticker_000001,[表情包:开心的笑脸表情，表示愉快的心情],1.0,False,[表情包:开心的笑脸表情，表示愉快的心情],True
17,text,1,差不多,,2023-02-07 03:18:32+00:00,1675739912,93.0,msg_00000017,,,,,差不多,True
18,text,1,我大二的,,2023-02-07 03:18:35+00:00,1675739915,3.0,msg_00000018,,,,,我大二的,True
19,text,1,应该也是缓考啥的,,2023-02-07 03:18:46+00:00,1675739926,11.0,msg_00000019,,,,,应该也是缓考啥的,True
21,text,0,我就是单纯想早去,,2023-02-07 03:19:00+00:00,1675739940,14.0,msg_00000021,,,,,我就是单纯想早去,True
20,text,1,你哪个系的？,,2023-02-07 03:19:00+00:00,1675739940,0.0,msg_00000020,,,,,你哪个系的？,True
